objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll026,img20210208_15461317.jpg,,,Wedding Picture 26,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll027,img20210208_15461705.jpg,,,Wedding Picture 27,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll028,img20210208_15503670.jpg,,,Wedding Picture 28,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll029,img20210208_15503683.jpg,,,Wedding Picture 29,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll030,img20210208_17003553.jpg,,,Wedding Picture 30,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll031,img20210208_17003561.jpg,,,Wedding Picture 31,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll032,img20210208_17003568.jpg,,,Wedding Picture 32,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll033,img20210208_17003575.jpg,,,Wedding Picture 33,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll034,img20210208_17053022.jpg,,,Wedding Picture 34,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll035,img20210208_17104288.jpg,,,Wedding Picture 35,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
